gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000029,1610612745,Houston,Rockets,HOU,rockets,201935,James,Harden,J. Harden,james-harden,G,,,43:16,121.3,121.3,126.7,126.7,-5.3,-5.3,0.654,3.4,34.0,0.026,0.07,0.049,10.0,0.714,0.785,0.34,0.34,99.29,99.29,82.74,89.0,0.242
0022000029,1610612745,Houston,Rockets,HOU,rockets,1628425,Sterling,Brown,S. Brown,sterling-brown,,,,20:12,102.4,102.4,111.4,111.4,-9.0,-9.0,0.0,0.0,0.0,0.0,0.038,0.023,16.7,1.0,1.0,0.133,0.133,102.18,102.18,85.15,42.0,0.081
0022000029,1610612745,Houston,Rockets,HOU,rockets,1630256,Jae'Sean,Tate,J. Tate,jaesean-tate,,,,37:14,125.3,125.3,103.9,103.9,21.4,21.4,0.069,2.0,15.4,0.03,0.07,0.053,7.7,0.611,0.658,0.128,0.128,97.98,97.98,81.65,75.0,0.07
0022000029,1610612745,Houston,Rockets,HOU,rockets,1630271,Brodric,Thomas,B. Thomas,brodric-thomas,,,,9:44,94.7,94.7,70.0,70.0,24.7,24.7,0.429,3.0,60.0,0.125,0.125,0.125,20.0,0.0,0.0,0.091,0.091,96.16,96.16,80.14,19.0,0.025
0022000029,1610612745,Houston,Rockets,HOU,rockets,203998,Bruno,Caboclo,B. Caboclo,bruno-caboclo,,,,3:33,166.7,166.7,42.9,42.9,123.8,123.8,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.0,0.125,0.125,87.89,87.89,73.24,6.0,-0.083
0022000029,1610612745,Houston,Rockets,HOU,rockets,202326,DeMarcus,Cousins,D. Cousins,demarcus-cousins,,NWT - Not With Team,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000029,1610612745,Houston,Rockets,HOU,rockets,201569,Eric,Gordon,E. Gordon,eric-gordon,,NWT - Not With Team,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000029,1610612745,Houston,Rockets,HOU,rockets,1630222,Mason,Jones,M. Jones,mason-jones,,NWT - Not With Team,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000029,1610612745,Houston,Rockets,HOU,rockets,202322,John,Wall,J. Wall,john-wall,,NWT - Not With Team,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000029,1610612757,Portland,Trail Blazers,POR,blazers,1627884,Derrick,Jones Jr.,D. Jones Jr.,derrick-jones-jr,F,,,36:23,114.5,114.5,113.9,113.9,0.6,0.6,0.033,0.0,14.3,0.05,0.121,0.082,0.0,0.5,0.521,0.068,0.068,97.61,97.61,81.34,76.0,0.031
